# filename; lat; lon; alt; yawl; pitch; roll; x; y; z
20200707_093129_903_0581.jpg; 81.654417; 4.610853; 90.797; 37.003; 6.692; -1.705; 4.636663; 81.659386; 90.797
20200707_093133_904_0582.jpg; 81.654470; 4.611281; 91.205; 37.443; 6.092; -1.224; 4.637135; 81.659447; 91.205
20200707_093137_903_0583.jpg; 81.654532; 4.611748; 90.563; 36.968; 4.923; 1.249; 4.637648; 81.659518; 90.563
20200707_093141_903_0584.jpg; 81.654598; 4.612544; 87.940; 45.803; 4.066; -2.350; 4.638488; 81.659592; 87.940
20200707_093145_903_0585.jpg; 81.654690; 4.613575; 87.415; 47.863; 3.087; -2.115; 4.639564; 81.659693; 87.415
20200707_093149_904_0586.jpg; 81.654823; 4.614897; 88.428; 48.889; 5.059; -2.029; 4.640931; 81.659834; 88.428
20200707_093153_904_0587.jpg; 81.654954; 4.616112; 89.507; 47.335; 8.439; -2.327; 4.642191; 81.659973; 89.507
20200707_093157_903_0588.jpg; 81.655058; 4.616812; 90.044; 46.670; 6.904; -0.982; 4.642935; 81.660086; 90.044
20200707_093201_904_0589.jpg; 81.655142; 4.617320; 92.622; 46.242; 6.198; -0.541; 4.643489; 81.660179; 92.622
20200707_093205_904_0590.jpg; 81.655204; 4.617983; 91.825; 45.529; 4.768; 0.154; 4.644196; 81.660249; 91.825
20200707_093209_904_0591.jpg; 81.655261; 4.618925; 91.436; 47.051; 5.100; -2.997; 4.645183; 81.660315; 91.436
20200707_093213_903_0592.jpg; 81.655352; 4.619841; 92.450; 45.434; 4.031; -1.349; 4.646144; 81.660415; 92.450
20200707_093217_904_0593.jpg; 81.655468; 4.620766; 92.514; 44.032; 5.918; -0.213; 4.647114; 81.660539; 92.514
20200707_093221_904_0594.jpg; 81.655569; 4.621824; 93.419; 45.145; 5.306; -2.706; 4.648218; 81.660649; 93.419
20200707_093225_904_0595.jpg; 81.655686; 4.622804; 94.003; 41.480; 5.722; -0.402; 4.649242; 81.660774; 94.003
20200707_093229_903_0596.jpg; 81.655806; 4.623726; 95.005; 40.468; 6.796; -1.604; 4.650209; 81.660903; 95.005
20200707_093233_904_0597.jpg; 81.655918; 4.624589; 93.857; 39.019; 5.934; -0.872; 4.651117; 81.661023; 93.857
20200707_093237_904_0598.jpg; 81.656027; 4.625426; 92.951; 41.606; 5.777; -1.904; 4.651999; 81.661141; 92.951
20200707_093241_904_0599.jpg; 81.656138; 4.626203; 93.041; 40.146; 5.141; -0.929; 4.652822; 81.661261; 93.041
20200707_093245_904_0600.jpg; 81.656251; 4.626986; 93.426; 39.493; 5.307; -0.744; 4.653649; 81.661382; 93.426
20200707_093249_904_0601.jpg; 81.656371; 4.627770; 94.181; 39.124; 5.243; 0.237; 4.654478; 81.661511; 94.181
20200707_093253_904_0602.jpg; 81.656500; 4.628583; 95.374; 39.261; 5.187; -0.195; 4.655336; 81.661648; 95.374
20200707_093257_904_0603.jpg; 81.656635; 4.629461; 95.703; 37.989; 4.899; -0.999; 4.656259; 81.661792; 95.703
20200707_093301_905_0604.jpg; 81.656781; 4.630415; 95.867; 37.761; 4.930; -0.896; 4.657258; 81.661946; 95.867
20200707_093305_904_0605.jpg; 81.656942; 4.631394; 96.027; 37.241; 5.483; -0.422; 4.658282; 81.662116; 96.027
20200707_093309_904_0606.jpg; 81.657104; 4.632389; 97.042; 36.835; 5.774; -0.517; 4.659322; 81.662286; 97.042
20200707_093313_904_0607.jpg; 81.657259; 4.633434; 98.197; 39.247; 5.661; -2.221; 4.660413; 81.662450; 98.197
20200707_093317_905_0608.jpg; 81.657415; 4.634465; 98.507; 37.161; 5.474; -0.387; 4.661488; 81.662615; 98.507
20200707_093321_904_0609.jpg; 81.657573; 4.635520; 99.249; 37.460; 5.828; -0.598; 4.662589; 81.662781; 99.249
20200707_093325_904_0610.jpg; 81.657732; 4.636556; 99.956; 38.711; 5.933; -0.458; 4.663670; 81.662949; 99.956
20200707_093329_904_0611.jpg; 81.657892; 4.637588; 99.360; 36.737; 5.006; 0.185; 4.664747; 81.663118; 99.360
20200707_093333_905_0612.jpg; 81.658052; 4.638664; 98.336; 38.156; 5.725; -0.832; 4.665868; 81.663286; 98.336
20200707_093337_905_0613.jpg; 81.658212; 4.639694; 97.362; 37.774; 5.409; -1.564; 4.666943; 81.663455; 97.362
20200707_093341_904_0614.jpg; 81.658383; 4.640656; 96.717; 37.237; 5.278; -1.031; 4.667950; 81.663634; 96.717
20200707_093345_904_0615.jpg; 81.658560; 4.641601; 96.353; 34.829; 6.545; 2.276; 4.668941; 81.663820; 96.353
20200707_093349_905_0616.jpg; 81.658710; 4.642735; 97.094; 39.718; 5.539; -0.283; 4.670120; 81.663979; 97.094
20200707_093353_905_0617.jpg; 81.658854; 4.643920; 96.875; 39.174; 5.674; -1.373; 4.671350; 81.664131; 96.875
20200707_093357_904_0618.jpg; 81.659003; 4.645127; 96.995; 39.319; 5.839; -1.718; 4.672602; 81.664289; 96.995
20200707_093401_905_0619.jpg; 81.659165; 4.646230; 97.947; 36.475; 6.501; -2.186; 4.673750; 81.664459; 97.947
20200707_093405_905_0620.jpg; 81.659326; 4.647151; 98.363; 38.182; 7.130; -1.480; 4.674716; 81.664629; 98.363
20200707_093409_905_0621.jpg; 81.659468; 4.648012; 99.393; 39.295; 6.455; 0.246; 4.675623; 81.664779; 99.393
20200707_093413_905_0622.jpg; 81.659585; 4.648926; 99.105; 40.761; 6.144; -1.558; 4.676581; 81.664905; 99.105
20200707_093417_905_0623.jpg; 81.659703; 4.649796; 98.156; 39.746; 5.220; -0.468; 4.677496; 81.665032; 98.156
20200707_093421_905_0624.jpg; 81.659821; 4.650695; 97.537; 38.972; 6.626; -1.101; 4.678441; 81.665158; 97.537
20200707_093425_905_0625.jpg; 81.659938; 4.651534; 97.970; 38.664; 5.677; -0.531; 4.679324; 81.665283; 97.970
